time,robot,x,y,state,carrying_task
161,2,7,5,to_dropoff,2
162,1,7,5,to_dropoff,1
162,2,7,5,to_dropoff,2
163,1,7,5,to_dropoff,1
163,2,7,5,to_dropoff,2
164,1,7,5,to_dropoff,1
164,2,7,5,to_dropoff,2
165,1,7,5,to_dropoff,1
165,2,7,5,to_dropoff,2
166,1,7,5,to_dropoff,1
166,2,7,5,to_dropoff,2
167,1,7,5,to_dropoff,1
167,2,7,5,to_dropoff,2
168,1,7,5,to_dropoff,1
168,2,7,5,to_dropoff,2
169,1,7,5,to_dropoff,1
169,2,7,5,to_dropoff,2
170,1,7,5,to_dropoff,1
170,2,7,5,to_dropoff,2
171,1,7,5,to_dropoff,1
171,2,7,5,to_dropoff,2
172,1,7,5,to_dropoff,1
172,2,7,5,to_dropoff,2
173,1,7,5,to_dropoff,1
173,2,7,5,to_dropoff,2
174,1,7,5,to_dropoff,1
174,2,7,5,to_dropoff,2
175,1,7,5,to_dropoff,1
175,2,7,5,to_dropoff,2
176,1,7,5,to_dropoff,1
176,2,7,5,to_dropoff,2
177,1,7,5,to_dropoff,1
177,2,7,5,to_dropoff,2
178,1,7,5,to_dropoff,1
178,2,7,5,to_dropoff,2
179,1,7,5,to_dropoff,1
179,2,7,5,to_dropoff,2
180,1,7,5,to_dropoff,1
180,2,7,5,to_dropoff,2
181,1,7,5,to_dropoff,1
181,2,7,5,to_dropoff,2
182,1,7,5,to_dropoff,1
182,2,7,5,to_dropoff,2
183,1,7,5,to_dropoff,1
183,2,7,5,to_dropoff,2
184,1,7,5,to_dropoff,1
184,2,7,5,to_dropoff,2
185,1,7,5,to_dropoff,1
185,2,7,5,to_dropoff,2
186,1,7,5,to_dropoff,1
186,2,7,5,to_dropoff,2
187,1,7,5,to_dropoff,1
187,2,7,5,to_dropoff,2
188,1,7,5,to_dropoff,1
188,2,7,5,to_dropoff,2
189,1,7,5,to_dropoff,1
189,2,7,5,to_dropoff,2
190,1,7,5,to_dropoff,1
190,2,7,5,to_dropoff,2
191,1,7,5,to_dropoff,1
191,2,7,5,to_dropoff,2
192,1,7,5,to_dropoff,1
192,2,7,5,to_dropoff,2
193,1,7,5,to_dropoff,1
193,2,7,5,to_dropoff,2
194,1,7,5,to_dropoff,1
194,2,7,5,to_dropoff,2
195,1,7,5,to_dropoff,1
195,2,7,5,to_dropoff,2
196,1,7,5,to_dropoff,1
196,2,7,5,to_dropoff,2
197,1,7,5,to_dropoff,1
197,2,7,5,to_dropoff,2
198,1,7,5,to_dropoff,1
198,2,7,5,to_dropoff,2
199,1,7,5,to_dropoff,1
199,2,7,5,to_dropoff,2
